t,marker,frame_idx,goal_pos.shoulder_pan,goal_pos.shoulder_lift,goal_pos.elbow_flex,goal_pos.wrist_flex,goal_pos.wrist_roll,goal_pos.gripper,pos.shoulder_pan,pos.shoulder_lift,pos.elbow_flex,pos.wrist_flex,pos.wrist_roll,pos.gripper,vel.shoulder_pan,vel.shoulder_lift,vel.elbow_flex,vel.wrist_flex,vel.wrist_roll,vel.gripper,load.shoulder_pan,load.shoulder_lift,load.elbow_flex,load.wrist_flex,load.wrist_roll,load.gripper,volt.shoulder_pan,volt.shoulder_lift,volt.elbow_flex,volt.wrist_flex,volt.wrist_roll,volt.gripper,temp.shoulder_pan,temp.shoulder_lift,temp.elbow_flex,temp.wrist_flex,temp.wrist_roll,temp.gripper,curr.shoulder_pan,curr.shoulder_lift,curr.elbow_flex,curr.wrist_flex,curr.wrist_roll,curr.gripper,goal2.shoulder_pan,goal2.shoulder_lift,goal2.elbow_flex,goal2.wrist_flex,goal2.wrist_roll,goal2.gripper
0.0,,0,-8.527472527472527,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2068,878,3588,2745,2129,1484,0,0,0,0,0,0,0,27,192,0,48,-65,122,124,122,125,121,124,43,44,44,46,44,45,0,0,0,0,0,0,0,0,0,0,0,0
0.0334,,1,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2068,878,3588,2743,2129,1484,0,0,0,0,0,0,92,23,106,-126,-97,-102,121,124,122,125,121,124,43,44,44,46,44,45,11,1,14,6,12,15,0,0,0,0,0,0
0.0668,,2,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2074,878,3600,2734,2124,1482,50,0,350,-200,0,-100,285,23,62,-109,-65,-72,121,124,122,124,121,123,43,44,43,46,44,45,47,0,17,5,3,8,0,0,0,0,0,0
0.1002,,3,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2095,878,3610,2727,2120,1481,450,0,500,-300,-250,-50,168,23,83,-55,-44,-65,121,124,122,124,121,123,43,44,44,46,44,45,34,1,4,1,3,10,0,0,0,0,0,0
0.1336,,4,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2113,878,3616,2722,2118,1480,600,0,150,-150,-50,-50,157,23,69,-34,-37,-62,121,124,122,124,121,123,43,44,44,46,44,45,9,0,1,0,2,7,0,0,0,0,0,0
0.1669,,5,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2124,878,3620,2717,2116,1480,350,0,150,-150,-50,0,40,23,51,0,-30,-62,121,124,122,124,121,123,43,44,43,46,44,45,5,0,0,1,2,9,0,0,0,0,0,0
0.2003,,6,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2135,878,3626,2714,2116,1480,350,0,150,-150,0,0,83,23,30,23,-30,-62,121,124,122,124,121,123,43,44,44,46,44,45,1,0,0,2,2,9,0,0,0,0,0,0
0.2337,,7,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2137,878,3627,2713,2116,1480,150,0,100,-50,0,0,69,23,23,30,-30,-62,121,124,122,124,121,123,43,44,44,46,44,45,3,0,0,1,2,10,0,0,0,0,0,0
0.2672,,8,-8.43956043956044,-80.52747252747253,91.86813186813187,69.84615384615384,5.670329670329671,2.4868123587038435,2141,878,3628,2713,2116,1480,100,0,50,0,0,0,55,23,0,30,-30,-62,121,124,122,124,121,123,43,44,44,46,44,45,3,0,0,0,2,9,0,0,0,0,0,0
0.3006,,9,-8.43956043956044,-80.52747252747253,91.78021978021978,69.84615384615384,5.670329670329671,2.4868123587038435,2143,878,3628,2713,2116,1480,50,0,0,0,0,0,48,23,0,30,-30,-62,121,124,122,125,121,123,43,44,43,46,44,45,4,0,0,0,3,9,0,0,0,0,0,0
0.334,,10,-8.43956043956044,-80.52747252747253,91.6923076923077,69.84615384615384,5.670329670329671,2.4868123587038435,2145,878,3628,2713,2116,1480,50,0,0,0,0,0,41,23,0,30,-30,-62,121,124,122,124,121,123,43,44,44,46,44,45,3,0,0,0,2,9,0,0,0,0,0,0
0.3674,,11,-8.43956043956044,-80.52747252747253,91.6043956043956,70.02197802197803,5.670329670329671,2.4868123587038435,2146,878,3628,2713,2116,1480,50,0,0,0,0,0,37,23,0,30,-30,-62,121,124,122,124,121,123,43,44,44,46,44,45,3,0,0,1,2,10,0,0,0,0,0,0
0.4008,,12,-8.43956043956044,-80.52747252747253,91.51648351648352,70.10989010989012,5.758241758241758,2.562170308967596,2146,878,3628,2713,2116,1480,0,0,0,0,0,0,37,23,-23,37,-30,-62,121,124,122,124,121,123,43,44,44,46,44,45,3,0,0,2,3,9,0,0,0,0,0,0
0.4342,,13,-8.43956043956044,-80.52747252747253,91.42857142857143,70.10989010989012,5.846153846153846,2.562170308967596,2146,878,3628,2713,2116,1480,0,0,0,0,0,0,37,23,-27,41,-27,-58,121,124,122,124,121,123,43,44,43,46,44,45,3,0,0,3,1,8,0,0,0,0,0,0
0.4677,,14,-8.527472527472527,-80.52747252747253,91.16483516483517,70.10989010989012,5.846153846153846,2.562170308967596,2146,878,3628,2713,2116,1480,0,0,0,0,0,0,37,23,-30,41,-23,-58,121,124,122,125,121,123,43,44,44,46,44,45,4,0,0,2,1,8,0,0,0,0,0,0
0.5011,,15,-8.527472527472527,-80.52747252747253,90.54945054945055,70.02197802197803,5.934065934065934,2.562170308967596,2146,878,3628,2713,2116,1480,0,0,0,0,0,0,34,23,-41,41,-23,-58,121,124,122,125,121,123,43,44,44,46,44,45,3,0,3,3,0,9,0,0,0,0,0,0
0.5345,,16,-8.527472527472527,-80.52747252747253,89.23076923076923,70.02197802197803,5.934065934065934,2.562170308967596,2146,878,3628,2713,2116,1480,0,0,0,0,0,0,34,23,-73,37,0,-58,121,124,122,125,121,123,43,44,43,46,44,45,3,0,11,3,0,9,0,0,0,0,0,0
0.5679,,17,-8.527472527472527,-80.43956043956044,87.47252747252747,70.02197802197803,5.934065934065934,2.562170308967596,2146,878,3627,2713,2116,1480,0,0,0,0,0,0,34,23,-138,37,0,-58,121,124,122,124,121,123,43,44,44,46,44,45,3,1,22,2,0,8,0,0,0,0,0,0
0.6014,,18,-8.527472527472527,-80.17582417582418,85.27472527472527,70.10989010989012,6.021978021978022,2.562170308967596,2146,878,3623,2713,2116,1480,0,0,-100,0,0,0,34,27,-205,37,0,-58,121,124,122,124,121,123,43,44,44,46,44,45,3,0,57,2,0,9,0,0,0,0,0,0
0.6348,,19,-8.527472527472527,-79.47252747252747,82.98901098901099,70.10989010989012,6.021978021978022,2.562170308967596,2146,878,3617,2714,2118,1480,0,0,-200,0,50,0,34,37,-183,37,0,-58,121,123,121,124,121,123,43,44,44,46,44,45,3,3,78,3,0,8,0,0,0,0,0,0
0.6682,,20,-8.615384615384615,-77.36263736263736,80.7032967032967,70.02197802197803,6.1098901098901095,2.562170308967596,2147,879,3605,2715,2119,1480,50,0,-350,0,100,0,30,79,-236,34,-27,-58,121,123,121,124,120,123,43,44,44,46,44,45,2,11,95,1,1,8,0,0,0,0,0,0
0.7016,,21,-8.791208791208792,-74.28571428571429,78.24175824175825,70.02197802197803,6.9010989010989015,2.562170308967596,2147,884,3593,2721,2123,1480,0,100,-350,200,150,0,27,73,-367,0,-34,-58,121,123,121,124,120,123,43,44,44,46,44,45,1,25,146,0,3,8,0,0,0,0,0,0
0.735,,22,-9.142857142857142,-70.32967032967034,75.6043956043956,70.02197802197803,8.131868131868131,2.562170308967596,2147,895,3577,2721,2124,1480,0,350,-500,50,100,0,0,236,-332,-23,36,-58,121,123,121,123,120,122,43,44,44,46,44,45,0,31,168,0,3,8,0,0,0,0,0,0
0.7684,,23,-9.142857142857142,-66.02197802197803,72.7032967032967,70.02197802197803,9.010989010989011,2.562170308967596,2146,915,3558,2721,2126,1480,0,500,-550,0,0,0,-23,234,-371,-23,96,-58,120,122,121,123,120,122,43,44,44,46,44,45,0,37,174,0,15,8,0,0,0,0,0,0
0.8019,,24,-8.967032967032967,-61.8021978021978,69.36263736263736,70.02197802197803,9.274725274725276,2.562170308967596,2146,942,3536,2722,2132,1480,0,750,-600,50,200,0,-23,307,-406,-27,105,-58,120,122,121,123,119,122,43,44,44,46,44,45,1,34,166,2,3,8,0,0,0,0,0,0
0.8353,,25,-8.615384615384615,-58.1978021978022,65.84615384615384,70.10989010989012,9.274725274725276,2.562170308967596,2146,973,3511,2722,2138,1480,0,850,-700,0,150,0,0,360,-443,-27,72,-58,120,122,120,123,119,122,43,44,43,46,44,45,0,40,209,0,3,8,0,0,0,0,0,0
0.8686,,26,-8.615384615384615,-55.2967032967033,62.15384615384615,70.1978021978022,9.274725274725276,2.562170308967596,2146,1010,3482,2722,2142,1480,0,1050,-850,0,100,0,30,382,-477,-23,55,-58,120,122,120,123,119,122,43,44,44,46,44,45,2,40,251,0,2,8,0,0,0,0,0,0
0.9021,,27,-8.615384615384615,-52.747252747252745,58.637362637362635,70.1978021978022,9.274725274725276,2.562170308967596,2146,1052,3451,2722,2145,1480,0,1200,-950,0,100,0,30,274,-526,0,44,-58,120,122,120,123,119,122,43,44,44,46,44,45,2,26,216,0,1,9,0,0,0,0,0,0
0.9355,,28,-8.703296703296703,-50.46153846153846,55.2967032967033,70.1978021978022,9.274725274725276,2.562170308967596,2146,1095,3418,2722,2148,1480,0,1300,-950,0,100,0,30,348,-547,0,37,-58,120,122,120,123,119,122,43,44,44,46,44,45,2,7,230,0,1,7,0,0,0,0,0,0
0.9689,,29,-8.703296703296703,-48.26373626373626,52.57142857142857,70.10989010989012,9.274725274725276,2.562170308967596,2146,1127,3381,2722,2149,1480,0,1100,-1100,0,50,0,27,314,-466,0,30,-58,120,122,120,123,119,122,43,44,44,46,44,45,1,12,208,0,2,8,0,0,0,0,0,0
1.0023,,30,-8.703296703296703,-45.97802197802198,49.75824175824176,70.10989010989012,9.274725274725276,2.562170308967596,2146,1161,3343,2722,2149,1480,0,1000,-1100,0,0,0,27,278,-530,-23,30,-58,120,122,120,123,120,122,43,44,43,46,44,45,0,7,187,0,2,8,0,0,0,0,0,0
1.0356,,31,-8.703296703296703,-43.34065934065934,47.120879120879124,70.10989010989012,9.274725274725276,2.562170308967596,2146,1193,3307,2722,2150,1479,0,950,-1100,0,50,-50,27,250,-541,-23,27,-55,120,123,120,123,120,122,43,44,44,46,44,45,1,3,172,0,0,8,0,0,0,0,0,0
1.069,,32,-8.615384615384615,-40.527472527472526,44.65934065934066,70.10989010989012,9.362637362637363,2.562170308967596,2146,1223,3272,2722,2151,1479,0,950,-1050,0,0,0,27,350,-517,-23,27,-55,120,123,121,123,120,122,43,44,44,46,44,45,1,3,192,0,0,7,0,0,0,0,0,0
1.1024,,33,-8.615384615384615,-37.714285714285715,42.46153846153846,70.02197802197803,9.45054945054945,2.562170308967596,2146,1253,3238,2722,2152,1479,0,900,-1000,0,50,0,30,266,-494,-23,23,-55,120,123,121,123,120,122,43,44,44,46,44,45,1,1,168,0,0,7,0,0,0,0,0,0
1.1358,,34,-8.615384615384615,-34.9010989010989,40.08791208791209,70.02197802197803,10.505494505494505,2.562170308967596,2146,1283,3204,2722,2152,1479,0,900,-1000,0,0,0,30,268,-458,-27,27,-55,120,123,121,123,120,122,43,44,43,46,44,45,2,3,146,0,2,6,0,0,0,0,0,0
1.1692,,35,-8.615384615384615,-31.912087912087912,37.8021978021978,70.02197802197803,12.351648351648352,2.562170308967596,2146,1313,3174,2722,2153,1479,0,900,-950,0,0,0,30,267,-433,-27,92,-55,120,123,121,123,120,122,43,44,44,46,44,45,2,5,147,0,4,8,0,0,0,0,0,0
1.2026,,36,-8.615384615384615,-29.01098901098901,35.69230769230769,70.02197802197803,14.285714285714286,2.562170308967596,2146,1345,3144,2722,2159,1479,0,950,-900,0,100,0,30,268,-532,-27,144,-55,120,123,121,123,120,122,43,44,44,46,44,45,1,11,153,0,17,6,0,0,0,0,0,0
1.236,,37,-8.615384615384615,-26.54945054945055,33.67032967032967,70.02197802197803,15.604395604395604,2.562170308967596,2146,1378,3115,2722,2172,1479,0,950,-850,0,350,0,30,292,-425,-27,193,-55,121,123,121,123,120,122,43,44,44,46,44,45,2,5,145,1,12,6,0,0,0,0,0,0
1.2694,,38,-8.527472527472527,-23.912087912087912,31.47252747252747,69.93406593406593,16.65934065934066,2.562170308967596,2146,1411,3089,2722,2187,1479,0,1000,-800,0,400,0,30,273,-402,-27,108,-55,121,123,121,123,120,122,43,44,44,46,44,45,1,1,161,0,10,7,0,0,0,0,0,0
1.303,,39,-8.351648351648352,-21.626373626373628,29.274725274725274,69.93406593406593,17.36263736263736,2.562170308967596,2146,1442,3063,2722,2200,1479,0,950,-800,0,450,0,34,261,-391,-30,171,-55,121,123,121,123,120,122,43,44,44,46,44,45,2,0,128,1,3,7,0,0,0,0,0,0
1.3365,,40,-7.648351648351649,-19.516483516483518,26.9010989010989,69.93406593406593,17.53846153846154,2.562170308967596,2146,1476,3037,2722,2214,1479,0,1000,-800,0,400,0,41,229,-381,-30,135,-55,121,123,121,123,120,122,43,44,44,46,44,45,4,0,131,0,2,7,0,0,0,0,0,0
